SampleID;Genotype;Group;treatment;SliceID;mfPerimeter;mfArea;complexity;mean complexity;BoutonID;Animal
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0009_s1;13.283;9.138;1.45360035018604;1.50312768573283;20201001_4_0009;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0009_s2;12.794;8.331;1.53570999879966;;20201001_4_0009;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0009_s3;12.592;8.399;1.49922609834504;;20201001_4_0009;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0009_s4;12.332;8.092;1.52397429560059;;20201001_4_0009;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0010_s1;12.641;5.171;2.44459485592729;;20201001_4_0010;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0010_s2;13.954;5.592;2.49535050071531;;20201001_4_0010;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0010_s3;12.04;5.151;2.3374102116094;;20201001_4_0010;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0010_s4;11.79;5.329;2.2124225933571;;20201001_4_0010;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0010_s5;10.761;3.787;2.8415632426723;;20201001_4_0010;2
20201126_1;WT;WT_ctrl;ctrl;20201126_1_001_s1;11.547;6.716;1.71932698034544;1.78945874045792;20201126_1_001;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_001_s2;12.263;6.727;1.82295228184926;;20201126_1_001;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_001_s3;13.075;7.008;1.86572488584475;;20201126_1_001;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_001_s4;11.785;7.052;1.67115711854793;;20201126_1_001;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_001_s5;12.108;6.676;1.81366087477531;;20201126_1_001;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_001_s6;12.786;7.114;1.79730109642958;;20201126_1_001;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_001_s7;12.109;6.595;1.83608794541319;;20201126_1_001;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_002_s1;16.165;10.671;1.51485334083029;1.51303162079338;20201126_1_002;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_002_s2;16.04;10.549;1.52052327234809;;20201126_1_002;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_002_s3;14.671;11.568;1.26823997233748;;20201126_1_002;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_002_s4;16.832;10.934;1.53941832815072;;20201126_1_002;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_002_s5;17.048;10.981;1.55249977233403;;20201126_1_002;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_002_s6;17.365;10.32;1.68265503875969;;20201126_1_002;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_003_s1;14.486;7.948;1.82259687971817;1.87000642735671;20201126_1_003;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_003_s2;15.049;7.842;1.91902575873502;;20201126_1_003;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_003_s3;14.255;7.927;1.79828434464488;;20201126_1_003;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_003_s4;14.583;7.63;1.91127129750983;;20201126_1_003;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_003_s5;14.645;7.714;1.8984962406015;;20201126_1_003;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_003_s6;13.586;7.217;1.88249965359568;;20201126_1_003;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_003_s7;13.49;7.261;1.85787081669192;;20201126_1_003;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_004_s1;7.379;2.746;2.68718135469774;3.28764402867779;20201126_1_004;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_004_s2;10.526;3.118;3.3758819756254;;20201126_1_004;3
20201126_1;WT;WT_ctrl;ctrl;20201126_1_004_s3;8.755;2.849;3.07300807300807;;20201126_1_004;3
