FileName;AZdist;BoutonID;Genotype;Treatment;Animal;Date;SampleID;Group
20190927_6_009-tko-fsk-PairD;318.486177255403;20190927_6_009;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_009-tko-fsk-PairD;126.317107121086;20190927_6_009;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_009-tko-fsk-PairD;494.630956406784;20190927_6_009;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_009-tko-fsk-PairD;577.39086914333;20190927_6_009;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_009-tko-fsk-PairD;244.492430545324;20190927_6_009;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_010-tko-fsk-PairD;571.237383905229;20190927_6_010;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_010-tko-fsk-PairD;573.860701882687;20190927_6_010;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_010-tko-fsk-PairD;225.881736326534;20190927_6_010;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_010-tko-fsk-PairD;431.506560506141;20190927_6_010;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_010-tko-fsk-PairD;457.312465052069;20190927_6_010;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_010-tko-fsk-PairD;429.943370377495;20190927_6_010;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_010-tko-fsk-PairD;182.963978370634;20190927_6_010;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_010-tko-fsk-PairD;610.46043591404;20190927_6_010;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_010-tko-fsk-PairD;365.074857636088;20190927_6_010;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_010-tko-fsk-PairD;332.339390592283;20190927_6_010;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_011-tko-fsk-PairD;142.697438690433;20190927_6_011;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_011-tko-fsk-PairD;268.471590970833;20190927_6_011;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_011-tko-fsk-PairD;315.657842718805;20190927_6_011;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_011-tko-fsk-PairD;342.910759746614;20190927_6_011;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_011-tko-fsk-PairD;224.739929981301;20190927_6_011;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_011-tko-fsk-PairD;389.673726771205;20190927_6_011;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_011-tko-fsk-PairD;226.277830548664;20190927_6_011;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_011-tko-fsk-PairD;268.067420590716;20190927_6_011;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_011-tko-fsk-PairD;246.072437845871;20190927_6_011;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_011-tko-fsk-PairD;484.814935994024;20190927_6_011;TKO;FSK;5;20190927;20190927_6;TKO FSK
20201001_1_001-wtj-ctr-PairD;313.189530170231;20201001_1_001;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_001-wtj-ctr-PairD;839.458529299953;20201001_1_001;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_001-wtj-ctr-PairD;891.604312540092;20201001_1_001;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_002-wtj-ctr-PairD;387.629771590831;20201001_1_002;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_002-wtj-ctr-PairD;477.457022988625;20201001_1_002;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_002-wtj-ctr-PairD;821.06254149452;20201001_1_002;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_004-wtj-ctr-PairD;876.055052937457;20201001_1_004;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_004-wtj-ctr-PairD;1265.8348877304;20201001_1_004;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_004-wtj-ctr-PairD;729.041450727769;20201001_1_004;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_004-wtj-ctr-PairD;410.651641281038;20201001_1_004;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_004-wtj-ctr-PairD;392.754494156451;20201001_1_004;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_004-wtj-ctr-PairD;487.453809518399;20201001_1_004;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_004-wtj-ctr-PairD;991.458811758391;20201001_1_004;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_004-wtj-ctr-PairD;780.718608997179;20201001_1_004;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_004-wtj-ctr-PairD;1359.66534322203;20201001_1_004;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_004-wtj-ctr-PairD;632.854274090142;20201001_1_004;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;514.785825161261;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;1016.1687299489;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;628.823432547675;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;500.12064195136;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;562.491678519256;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;1004.51306649714;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;705.05648164501;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;592.562860064491;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;511.810074782472;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;162.566040397618;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;974.852596126532;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;946.360795730809;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;1450.05691733408;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;1032.23786599425;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;748.57681769091;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;392.846137262975;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;1485.61626657894;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;1353.12215423054;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;1869.6092492426;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;1396.24025864528;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;1055.22521950069;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;1110.94095498355;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;983.664518552748;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;1497.50948957402;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
20201001_1_006-wtj-ctr-PairD;1045.16604762353;20201001_1_006;WT;Control;1;20201001;20201001_1;WT Control
